id;account_name;ccy;address;seed
1;Checking Account;XNO;Carolina Tools turn-key;Cotton
2;Investment Account;XNO;mobile;up mobile Mission
3;Investment Account;XNO;applications synthesizing;cross-platform
4;Investment Account;XNO;navigating;Concrete open-source
5;Savings Account;XNO;Villages;schemas
6;Auto Loan Account;XNO;Beauty;Chair tolerance
7;Investment Account;XNO;Money;Turkey
8;Savings Account;XNO;Sleek fresh-thinking;generate Integration
9;Money Market Account;XNO;Michigan;Synergistic plug-and-play
10;Home Loan Account;XNO;bandwidth-monitored Metrics incentivize;back-end Money Incredible
